section,Model,Hardware,Bandwidth,Quality,Memory,Flash,SRAM,Latency,RTF,Power,Verdict
external_under_50mw,mp_senet_micro_8k_target,STM32N6,8 kHz,acceptable,external,0.27 MiB,0.18 MiB,20 ms,0.01,11.39 mW,PASS
external_under_50mw,percepnet_class_8k,STM32N6,8 kHz,acceptable,external,0.27 MiB,0.10 MiB,20 ms,0.01,11.81 mW,PASS
external_under_50mw,percepnet_class_8k,NXP i.MX RT700,8 kHz,acceptable,external,0.27 MiB,0.10 MiB,20 ms,0.11,12.64 mW,PASS
external_under_50mw,rnnoise_class_8k,Infineon PSoC Edge E84,8 kHz,degraded,external,0.14 MiB,0.04 MiB,20 ms,0.01,8.56 mW,PASS
external_under_50mw,spectral_gate_only_8k,Infineon PSoC Edge E84,8 kHz,degraded,external,0.05 MiB,0.03 MiB,32 ms,0.01,8.60 mW,PASS
external_under_50mw,spectral_gate_only_8k,NXP i.MX RT700,8 kHz,degraded,external,0.05 MiB,0.03 MiB,32 ms,0.03,9.21 mW,PASS
external_under_50mw,rnnoise_class_8k,NXP i.MX RT700,8 kHz,degraded,external,0.14 MiB,0.04 MiB,20 ms,0.05,10.32 mW,PASS
external_under_50mw,rnnoise_class_8k,STM32N6,8 kHz,degraded,external,0.14 MiB,0.04 MiB,20 ms,0.01,10.97 mW,PASS
external_under_50mw,spectral_gate_only_8k,STM32N6,8 kHz,degraded,external,0.05 MiB,0.03 MiB,32 ms,0.01,11.20 mW,PASS

repo_models,Model,Hardware,Bandwidth,Memory,Flash,SRAM,Latency,RTF,Verdict,Reasons
repo_models,atennuate_8k_estimated,Alif Ensemble E3,8 kHz,onchip,0.90 MiB,0.16 MiB,1024 ms,0.23,FAIL,"latency,offline_only"
repo_models,atennuate_8k_estimated,Infineon PSoC Edge E84,8 kHz,external,0.90 MiB,0.16 MiB,1024 ms,0.26,FAIL,"latency,offline_only"
repo_models,atennuate_8k_estimated,NXP MCX N94,8 kHz,onchip,0.90 MiB,0.16 MiB,1024 ms,1.12,FAIL,"compute,latency,offline_only"
repo_models,atennuate_8k_estimated,NXP i.MX RT700,8 kHz,external,0.90 MiB,0.16 MiB,1024 ms,0.42,FAIL,"latency,offline_only"
repo_models,atennuate_8k_estimated,STM32L476RG,8 kHz,onchip,0.90 MiB,0.16 MiB,1024 ms,7.29,FAIL,"compute,flash,latency,offline_only,sram"
